47.128.42.156 - - [31/Oct/2024:03:39:08 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
47.128.110.160 - - [31/Oct/2024:03:43:08 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
114.119.140.206 - - [31/Oct/2024:03:46:07 +0000] "GET /art.php?gallery=Cellular%20Arrays HTTP/1.1" 200 2666 "https://narayana-art.co.uk/art.php?gallery=Cellular%20Growth" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
47.128.98.206 - - [31/Oct/2024:03:47:08 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
47.128.96.216 - - [31/Oct/2024:03:51:11 +0000] "GET /robots.txt HTTP/1.1" 404 208 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; spider-feedback@bytedance.com)"
114.119.140.206 - - [31/Oct/2024:04:17:59 +0000] "GET /Adventure/MagyckMaze.htm HTTP/1.1" 200 8731 "http://www.narayana-art.co.uk/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.140.206 - - [31/Oct/2024:04:37:59 +0000] "GET /art.php?gallery=Attractor_Patterns HTTP/1.1" 200 2584 "https://www.narayana-art.co.uk/galleries.php" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.159.8 - - [31/Oct/2024:05:32:34 +0000] "GET /LangFuncPage/LangFuncPage.html?Cache-Control:no-cache HTTP/1.1" 200 2218 "https://www.narayana-art.co.uk/NarayanaLang.htm" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/updates.php HTTP/1.1" 404 220 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/updraft/about.php HTTP/1.1" 404 226 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/updraft/themes.php HTTP/1.1" 404 227 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/upgrade/about.php HTTP/1.1" 404 226 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/upgrade/index.php HTTP/1.1" 404 226 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/upgrade/wp-login.php HTTP/1.1" 404 229 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/ HTTP/1.1" 404 217 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/2014/06/wp-login.php HTTP/1.1" 404 237 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/2016/03/wp-admin-block.php HTTP/1.1" 404 243 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/2018/03/ab.php HTTP/1.1" 404 231 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/BbUMY/index.php HTTP/1.1" 404 232 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/autoload_classmap.php HTTP/1.1" 404 238 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/chosen.php HTTP/1.1" 404 227 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/index.php HTTP/1.1" 404 226 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/js_composer/luuf.php HTTP/1.1" 404 237 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/suit5y.php HTTP/1.1" 404 227 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:33 +0000] "GET /wp-content/uploads/themes.php HTTP/1.1" 404 227 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/uploads/wpr-addons/forms/RxRzhwix.php HTTP/1.1" 404 246 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/uploads/wpr-addons/forms/b1ack.php HTTP/1.1" 404 243 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/uploads/wpr-addons/forms/elp.php?p=?p= HTTP/1.1" 404 241 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/x/eew.php HTTP/1.1" 404 218 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/x/index.php?p=?p= HTTP/1.1" 404 220 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-content/xBrain.php HTTP/1.1" 404 219 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-crom.php HTTP/1.1" 404 209 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-cron.php HTTP/1.1" 404 209 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-crons.php HTTP/1.1" 404 210 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-head.php HTTP/1.1" 404 209 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-head.php HTTP/1.1" 404 209 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/Cez57/index.php HTTP/1.1" 404 225 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/51Sge/index.php HTTP/1.1" 404 229 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/about.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/index.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/index.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/module.audio-video.matroska-meta.php HTTP/1.1" 404 250 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/ID3/wp-login.php HTTP/1.1" 404 226 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/IXR/about.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/IXR/index.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/IXR/index.php HTTP/1.1" 404 223 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/PHPMailer/about.php HTTP/1.1" 404 229 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/PHPMailer/admin.php HTTP/1.1" 404 229 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/PHPMailer/autoload_classmap.php HTTP/1.1" 404 241 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/Requests/Utility/sys.php HTTP/1.1" 404 234 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/Requests/about.php HTTP/1.1" 404 228 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:34 +0000] "GET /wp-includes/SimplePie/Cache/contents.php HTTP/1.1" 404 238 "-" "-"
40.69.37.134 - - [31/Oct/2024:05:56:35 +0000] "GET /wp-includes/SimplePie/HdGGN/index.php HTTP/1.1" 404 235 "-" "-"
